Epoch,Validation Loss
1,11.511418801065652
2,11.481343568517719
3,11.440069747626247
4,11.536600532188853
5,11.483725484748799
6,11.484152850250991
7,11.576363168883725
8,11.51342132858101
9,11.539155324022413
10,11.548246302526273
11,11.567271852974812
12,11.537745247138263
13,11.652059409054939
14,11.47592753022272
15,11.45537463896946
16,11.568018093094118
17,11.53998498898244
18,11.556383541068158
19,11.526502409931414
20,11.542177553725546
21,11.597746030792754
22,11.490068980706944
23,11.508592891155729
24,11.515425767955383
25,11.471984508700602
26,11.508159037031078
27,11.628964210227677
28,11.580479125132463
29,11.514068963977605
30,11.476991920918865
31,11.576571595214066
32,11.562508167316702
33,11.558920047542424
34,11.609122568735577
35,11.487267125694908
36,11.502711232939742
37,11.45634913392544
38,11.621719965835199
39,11.523184659831726
40,11.517814773405965
41,11.520482795429134
42,11.53699192700309
43,11.502315455529802
44,11.559860251099419
45,11.49390192129346
46,11.46424184465873
47,11.519505324062386
48,11.54075937058635
49,11.54425987521971
50,11.500336528536051
51,11.51054737886645
52,11.491905815239374
53,11.476782363629185
54,11.53414683068992
55,11.503528757698776
56,11.529763927612565
57,11.573441269891191
58,11.510719277745462
59,11.567705325690413
60,11.530478985607347
61,11.532005062732765
62,11.507851089285957
63,11.514253212919527
64,11.525318540898493
65,11.488534716421666
66,11.531703750024281
67,11.53772951726128
68,11.466062805467383
69,11.454795776972919
70,11.559992313958508
71,11.515470521012007
72,11.515104711765856
73,11.567773482881531
74,11.496938759816082
75,11.45910452116355
76,11.551349345222068
77,11.55091606402054
78,11.475760922832237
79,11.534888181411311
80,11.52361958209788
81,11.481950797898667
82,11.552056211332939
83,11.515274923389303
84,11.541562908618067
85,11.51989944133611
86,11.54837800533814
87,11.513263173112168
88,11.60458557887682
89,11.604171587949557
90,11.540038975022544
91,11.497815732141689
92,11.578146266290691
93,11.538002483144208
94,11.536439497434333
95,11.539948755476141
96,11.51799713512226
97,11.556551490224575
98,11.519259734577288
99,11.498967242710865
100,11.530945105989142
101,11.480606656067707
102,11.527534043056876
103,11.519770837580564
104,11.605314375577386
105,11.523671178505085
106,11.517344134452136
107,11.526618139602736
108,11.532332821698363
109,11.516874807842843
110,11.50003108375594
111,11.526608970988026
112,11.549236435792627
113,11.560729622149815
114,11.582299195178408
115,11.509301714988894
116,11.472464848791978
117,11.53574790973686
118,11.489004961683634
119,11.548931049100267
120,11.54139256709009
121,11.491101441217857
122,11.538438658087422
123,11.528253813762104
124,11.520976188207738
125,11.606714035601266
