Volume,dice_SRF
TRAIN008,0.8771929824561403 (0.32966464261046613)
TRAIN017,0.953125 (0.21220162006698987)
TRAIN019,0.984375 (0.12450690143095285)
TRAIN021,0.9166666666666666 (0.27767391620085197)
TRAIN023,0.828125 (0.3787541741148852)
TRAIN025,1.0 (0.0)
TRAIN031,0.9795918367346939 (0.14285714285714285)
TRAIN035,1.0 (0.0)
TRAIN037,0.8064516129032258 (0.40160966445124935)
TRAIN053,0.8235294117647058 (0.38501336875184883)
TRAIN057,0.7755102040816326 (0.42156979070537554)
TRAIN060,0.9140625 (0.2813730045980521)
TRAIN065,1.0 (0.0)
TRAIN070,0.7890625 (0.4095771537596913)
